time, Quad.Est.E.Pos, Quad.Est.S.Z
2.055033,0.145593,0.307718
2.060033,0.145315,0.307856
2.065033,0.144921,0.308069
2.070032,0.144662,0.308213
2.075032,0.144281,0.308435
2.080032,0.144026,0.308587
2.085031,0.143672,0.308819
2.090031,0.143453,0.308978
2.095031,0.143115,0.309222
2.100030,0.142899,0.309388
2.105030,0.164652,0.306473
2.110029,0.164962,0.306583
2.115029,0.165412,0.306751
2.120029,0.165731,0.306866
2.125028,0.166192,0.307043
2.130028,0.166486,0.307163
2.135028,0.166896,0.307348
2.140027,0.167172,0.307473
2.145027,0.167629,0.307667
2.150027,0.167931,0.307798
2.155026,0.168392,0.308001
2.160026,0.168707,0.308139
2.165025,0.169170,0.308351
2.170025,0.169506,0.308495
2.175025,0.170004,0.308717
2.180024,0.170300,0.308868
2.185024,0.170758,0.309101
2.190024,0.171017,0.309259
2.195023,0.171442,0.309503
2.200023,0.171770,0.309669
2.205023,0.149488,0.306751
2.210022,0.149510,0.306860
2.215022,0.149595,0.307029
2.220021,0.149656,0.307144
2.225021,0.149726,0.307320
2.230021,0.149751,0.307440
2.235020,0.149875,0.307624
2.240020,0.149965,0.307750
2.245020,0.150069,0.307943
2.250019,0.150159,0.308075
2.255019,0.150329,0.308277
2.260019,0.150540,0.308415
2.265018,0.150813,0.308627
2.270018,0.150983,0.308771
2.275017,0.151249,0.308993
2.280017,0.151349,0.309144
2.285017,0.151607,0.309376
2.290016,0.151743,0.309534
2.295016,0.152012,0.309777
2.300016,0.152284,0.309943
2.305015,0.146490,0.307022
2.310015,0.146638,0.307132
2.315015,0.146634,0.307300
2.320014,0.146674,0.307415
2.325014,0.146622,0.307591
2.330014,0.146583,0.307711
2.335013,0.146534,0.307895
2.340013,0.146510,0.308021
2.345012,0.146453,0.308214
2.350012,0.146379,0.308345
2.355012,0.146272,0.308547
2.360011,0.146229,0.308685
2.365011,0.146149,0.308897
2.370011,0.146052,0.309041
2.375010,0.145946,0.309262
2.380010,0.145944,0.309413
2.385010,0.145864,0.309645
2.390009,0.146107,0.309804
2.395009,0.146103,0.310046
2.400008,0.146147,0.310212
2.405008,0.166432,0.307288
2.410008,0.167043,0.307398
2.415007,0.168017,0.307566
2.420007,0.168705,0.307680
2.425007,0.169705,0.307856
2.430006,0.170329,0.307976
2.435006,0.171297,0.308160
2.440006,0.171944,0.308286
2.445005,0.172922,0.308479
2.450005,0.173562,0.308610
2.455004,0.174544,0.308812
2.460004,0.175210,0.308949
2.465004,0.176201,0.309161
2.470003,0.176908,0.309305
2.475003,0.177984,0.309526
2.480003,0.178715,0.309677
2.485002,0.179802,0.309909
2.490002,0.180496,0.310067
2.495002,0.181601,0.310310
2.500001,0.182344,0.310475
2.505001,0.203517,0.307548
2.510000,0.204137,0.307658
2.515000,0.205033,0.307826
2.520000,0.205623,0.307940
2.524999,0.206503,0.308116
2.529999,0.207112,0.308236
2.534999,0.208025,0.308420
2.539998,0.208646,0.308545
2.544998,0.209590,0.308738
2.549998,0.210222,0.308869
2.554997,0.211197,0.309070
2.559997,0.211857,0.309208
2.564996,0.212847,0.309419
2.569996,0.213472,0.309563
2.574996,0.214433,0.309784
2.579995,0.215111,0.309935
2.584995,0.216076,0.310167
2.589995,0.216718,0.310325
2.594994,0.217705,0.310567
2.599994,0.218387,0.310732
2.604994,0.212636,0.307802
2.609993,0.213134,0.307912
2.614993,0.213891,0.308080
2.619992,0.214366,0.308194
2.624992,0.215062,0.308370
2.629992,0.215495,0.308489
2.634991,0.216176,0.308673
2.639991,0.216620,0.308798
2.644991,0.217282,0.308991
2.649990,0.217712,0.309122
2.654990,0.218348,0.309323
2.659990,0.218802,0.309461
2.664989,0.219442,0.309672
2.669989,0.219844,0.309816
2.674989,0.220474,0.310037
2.679988,0.220870,0.310187
2.684988,0.221469,0.310419
2.689987,0.221867,0.310577
2.694987,0.222468,0.310819
2.699987,0.222849,0.310984
2.704986,0.206997,0.308051
2.709986,0.207077,0.308160
2.714986,0.207174,0.308328
2.719985,0.207262,0.308443
2.724985,0.207375,0.308618
2.729985,0.207433,0.308738
2.734984,0.207510,0.308921
2.739984,0.207561,0.309046
2.744983,0.207653,0.309239
2.749983,0.207730,0.309370
2.754983,0.207844,0.309571
2.759982,0.207895,0.309708
2.764982,0.207968,0.309919
2.769982,0.208015,0.310063
2.774981,0.208096,0.310284
2.779981,0.208137,0.310434
2.784981,0.208178,0.310665
2.789980,0.208213,0.310823
2.794980,0.208257,0.311065
2.799979,0.208298,0.311230
2.804979,0.247967,0.308295
2.809979,0.248693,0.308404
2.814978,0.249814,0.308571
2.819978,0.250582,0.308686
2.824978,0.251743,0.308861
2.829977,0.252534,0.308981
2.834977,0.253722,0.309164
2.839977,0.254513,0.309289
2.844976,0.255703,0.309481
2.849976,0.256483,0.309612
2.854975,0.257680,0.309813
2.859975,0.258500,0.309950
2.864975,0.259749,0.310161
2.869974,0.260593,0.310305
2.874974,0.261808,0.310525
2.879974,0.262621,0.310676
2.884973,0.263839,0.310907
2.889973,0.264629,0.311064
2.894973,0.265844,0.311306
2.899972,0.266675,0.311471
2.904972,0.229134,0.308533
2.909971,0.229061,0.308642
2.914971,0.228938,0.308809
2.919971,0.228859,0.308924
2.924970,0.228710,0.309099
2.929970,0.228615,0.309218
2.934970,0.228479,0.309401
2.939969,0.228404,0.309526
2.944969,0.228301,0.309718
2.949969,0.228244,0.309849
2.954968,0.228128,0.310050
2.959968,0.228034,0.310187
2.964967,0.227931,0.310398
2.969967,0.227866,0.310541
2.974967,0.227760,0.310762
2.979966,0.227675,0.310912
2.984966,0.227544,0.311143
2.989966,0.227475,0.311300
2.994965,0.227409,0.311542
2.999965,0.227335,0.311707
3.004965,0.180370,0.308766
3.009964,0.179567,0.308875
3.014964,0.178338,0.309042
3.019964,0.177556,0.309156
3.024963,0.176382,0.309331
3.029963,0.175589,0.309450
3.034962,0.174427,0.309634
3.039962,0.173665,0.309759
3.044962,0.172523,0.309950
3.049961,0.171771,0.310081
3.054961,0.170660,0.310282
3.059961,0.169934,0.310419
3.064960,0.168857,0.310629
3.069960,0.168149,0.310773
3.074960,0.167107,0.310993
3.079959,0.166413,0.311143
3.084959,0.165397,0.311374
3.089958,0.164685,0.311531
3.094958,0.163648,0.311772
3.099958,0.162998,0.311937
3.104957,0.173303,0.308993
3.109957,0.172153,0.309102
3.114957,0.170451,0.309270
3.119956,0.169295,0.309384
3.124956,0.167616,0.309558
3.129956,0.166511,0.309678
3.134955,0.164845,0.309861
3.139955,0.163718,0.309985
3.144954,0.162033,0.310177
3.149954,0.160919,0.310308
3.154954,0.159256,0.310508
3.159953,0.158124,0.310645
3.164953,0.156448,0.310855
3.169953,0.155287,0.310999
3.174952,0.153638,0.311219
3.179952,0.152577,0.311369
3.184952,0.150961,0.311599
3.189951,0.149955,0.311756
3.194951,0.148346,0.311998
3.199950,0.147261,0.312162
3.204950,0.157649,0.309216
3.209950,0.157106,0.309325
3.214949,0.156329,0.309492
3.219949,0.155770,0.309606
3.224949,0.154979,0.309781
3.229948,0.154446,0.309900
3.234948,0.153665,0.310083
3.239948,0.153132,0.310207
3.244947,0.152355,0.310399
3.249947,0.151843,0.310530
3.254946,0.151090,0.310730
3.259946,0.150549,0.310867
3.264946,0.149786,0.311077
3.269945,0.149293,0.311220
3.274945,0.148543,0.311440
3.279945,0.148019,0.311590
3.284944,0.147266,0.311820
3.289944,0.146748,0.311977
3.294944,0.145976,0.312218
3.299943,0.145570,0.312383
3.304943,0.130433,0.309434
3.309942,0.129418,0.309543
3.314942,0.127961,0.309710
3.319942,0.126989,0.309824
3.324941,0.125529,0.309998
3.329941,0.124598,0.310117
3.334941,0.123085,0.310300
3.339940,0.122070,0.310425
3.344940,0.120553,0.310616
3.349940,0.119528,0.310746
3.354939,0.118000,0.310947
3.359939,0.117016,0.311083
3.364938,0.115515,0.311293
3.369938,0.114513,0.311436
3.374938,0.113040,0.311656
3.379937,0.112135,0.311806
3.384937,0.110705,0.312036
3.389937,0.109675,0.312193
3.394936,0.108257,0.312434
3.399936,0.107323,0.312598
3.404936,0.108884,0.309647
3.409935,0.108077,0.309756
3.414935,0.107084,0.309923
3.419935,0.106437,0.310036
3.424934,0.105490,0.310211
3.429934,0.104866,0.310330
3.434933,0.103938,0.310512
3.439933,0.103328,0.310637
3.444933,0.102397,0.310828
3.449932,0.101805,0.310959
3.454932,0.100944,0.311159
3.459932,0.100391,0.311295
3.464931,0.099551,0.311505
3.469931,0.099009,0.311648
3.474931,0.098196,0.311868
3.479930,0.097655,0.312017
3.484930,0.096883,0.312247
3.489929,0.096375,0.312404
3.494929,0.095653,0.312645
3.499929,0.095227,0.312809
3.504928,0.115097,0.309855
3.509928,0.115228,0.309964
3.514928,0.115496,0.310131
3.519927,0.115675,0.310244
3.524927,0.115978,0.310419
3.529927,0.116188,0.310538
3.534926,0.116490,0.310720
3.539926,0.116693,0.310845
3.544925,0.117014,0.311036
3.549925,0.117236,0.311166
3.554925,0.117573,0.311366
